Course Title,Course Description,Course Author,Course Author Occupation,Course URL
Introduction to Shell for Data Science,"The Unix command line helps users combine existing programs in new ways, automate repetitive tasks, and run programs ...",Greg Wilson,Co-founder of Software Carpentry,https://www.datacamp.com/courses/introduction-to-shell-for-data-science
Conda Essentials,Learn how to easily manage your software using conda.,David Mertz,Senior Data Science Trainer at Anaconda Inc.,https://www.datacamp.com/courses/conda-essentials
Conda for Building & Distributing Packages,Learn how to write Conda recipes and share them on Anaconda Cloud.,Albert DeFusco,Data Science Instructor at Anaconda Inc.,https://www.datacamp.com/courses/conda-for-building-distributing-packages
Intro to SQL for Data Science,"Master the basics of querying databases with SQL, the world's most popular databasing language.",Nick Carchedi,Product Manager at DataCamp,https://www.datacamp.com/courses/intro-to-sql-for-data-science
Joining Data in PostgreSQL,"Join two or three tables together into one, combine tables using set theory, and work with subqueries in PostgreSQL",Chester Ismay,Senior Curriculum Lead at DataCamp,https://www.datacamp.com/courses/joining-data-in-postgresql
Pivot Tables with Spreadsheets,"Explore the world of Pivot Tables within Google Sheets, and learn how to quickly organize thousands of data points wi...",Frank Sumanski,"Founder, SpreadsheetAllstars.com",https://www.datacamp.com/courses/pivot-tables-with-spreadsheets
Intermediate Spreadsheets for Data Science,"Expand your spreadsheets vocabulary by diving deeper into data types, including numeric data, logical data, and missi...",Richie Cotton,Head of Content Quality at DataCamp,https://www.datacamp.com/courses/intermediate-spreadsheets-for-data-science
Spreadsheet Basics,"Learn the basics of spreadsheets by working with rows, columns, addresses, and ranges.",Vincent Vankrunkelsven,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/spreadsheet-basics
Data Analysis with Spreadsheets,"Learn how to analyze data with spreadsheets using functions such as SUM(), AVERAGE(), and VLOOKUP().",Vincent Vankrunkelsven,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/data-analysis-with-spreadsheets
Introduction to Git for Data Science,This course is an introduction to version control with Git for data scientists.,Greg Wilson,Co-founder of Software Carpentry,https://www.datacamp.com/courses/introduction-to-git-for-data-science
Introduction to R,"Master the basics of data analysis by manipulating common data structures such as vectors, matrices and data frames.",Jonathan Cornelissen,Co-founder and CEO of DataCamp,https://www.datacamp.com/courses/free-introduction-to-r
"Data Analysis in R, the data.table Way","Master core concepts in data manipulation such as subsetting, updating, indexing and joining your data using data.table.",Matt Dowle,Author of data.table,https://www.datacamp.com/courses/data-table-data-manipulation-r-tutorial
Data Manipulation in R with dplyr,"Master techniques for data manipulation using the select, mutate, filter, arrange, and summarise functions in dplyr.",Garrett Grolemund,Data Scientist at RStudio,https://www.datacamp.com/courses/dplyr-data-manipulation-r-tutorial
Data Visualization in R with ggvis,"Learn to create interactive graphs to display distributions, relationships, model fits, and more using ggvis.",Garrett Grolemund,Data Scientist at RStudio,https://www.datacamp.com/courses/ggvis-data-visualization-r-tutorial
Reporting with R Markdown,Learn to create interactive analyses and automated reports with R Markdown.,Garrett Grolemund,Data Scientist at RStudio,https://www.datacamp.com/courses/reporting-with-r-markdown
Intermediate R,"Continue your journey to become an R ninja by learning about conditional statements, loops, and vector functions.",Filip Schouwenaars,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/intermediate-r
Introduction to Machine Learning,Learn to train and assess models performing common machine learning tasks such as classification and clustering.,Gilles Inghelbrecht,Doctoral Student at Vrije Universiteit Brussel,https://www.datacamp.com/courses/introduction-to-machine-learning-with-r
Cleaning Data in R,Learn to explore your data so you can properly clean and prepare it for analysis.,Nick Carchedi,Product Manager at DataCamp,https://www.datacamp.com/courses/cleaning-data-in-r
Intermediate R - Practice,Strengthen your knowledge of the topics you learned in Intermediate R with a ton of new and fun exercises.,Filip Schouwenaars,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/intermediate-r-practice
Data Visualization with ggplot2 (Part 1),Learn to produce meaningful and beautiful data visualizations with ggplot2 by understanding the grammar of graphics.,Rick Scavetta,"Rick Scavetta is a biologist, workshop trainer, freelance data...",https://www.datacamp.com/courses/data-visualization-with-ggplot2-1
Data Visualization with ggplot2 (Part 2),"Take your data visualization skills to the next level with coordinates, facets, themes, and best practices in ggplot2.",Rick Scavetta,"Rick Scavetta is a biologist, workshop trainer, freelance data...",https://www.datacamp.com/courses/data-visualization-with-ggplot2-2
Data Visualization with ggplot2 (Part 3),This course covers some advanced topics including strategies for handling large data sets and specialty plots.,Rick Scavetta,"Rick Scavetta is a biologist, workshop trainer, freelance data...",https://www.datacamp.com/courses/data-visualization-with-ggplot2-part-3
Text Mining: Bag of Words,Learn the bag of words technique for text mining with R.,Ted Kwartler,"Senior Director, Data Scientist at Liberty Mutual",https://www.datacamp.com/courses/intro-to-text-mining-bag-of-words
Exploring Pitch Data with R,Use a rich baseball dataset from the MLB's Statcast system to practice your data exploration skills.,Brian M. Mills,Assistant Professor at the University of Florida,https://www.datacamp.com/courses/exploring-pitch-data-with-r
Intro to Python for Data Science,Master the basics of data analysis in Python. Expand your skill set by learning scientific computing with numpy.,Filip Schouwenaars,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/intro-to-python-for-data-science
Working with the RStudio IDE (Part 1),Learn the basics of the important features of the RStudio IDE.,Garrett Grolemund,Data Scientist at RStudio,https://www.datacamp.com/courses/working-with-the-rstudio-ide-part-1
Introduction to Portfolio Analysis in R,"Apply your finance and R skills to backtest, analyze, and optimize financial portfolios.",Kris Boudt,Professor of Finance and Econometrics at VUB and VUA,https://www.datacamp.com/courses/introduction-to-portfolio-analysis-in-r
Writing Functions in R,Learn the fundamentals of writing functions in R so you can make your code more readable and automate repetitive tasks.,Charlotte Wickham,Assistant Professor at Oregon State University,https://www.datacamp.com/courses/writing-functions-in-r
Credit Risk Modeling in R,Apply statistical modeling in a real-life setting using logistic regression and decision trees to model credit risk.,Lore Dirick,Senior Data Science Curriculum Writer at Flatiron School,https://www.datacamp.com/courses/introduction-to-credit-risk-modeling-in-r
Machine Learning Toolbox,This course teaches the big ideas in machine learning like how to build and evaluate predictive models.,Zachary Deane-Mayer,Data Scientist at Data Robot and co-author of caret,https://www.datacamp.com/courses/machine-learning-toolbox
Working with the RStudio IDE (Part 2),"Further your knowledge of RStudio and learn how to integrate Git, LaTeX, and Shiny",Garrett Grolemund,Data Scientist at RStudio,https://www.datacamp.com/courses/working-with-the-rstudio-ide-part-2
Joining Data in R with dplyr,This course will show you how to combine data sets with dplyr's two table verbs.,Garrett Grolemund,Data Scientist at RStudio,https://www.datacamp.com/courses/joining-data-in-r-with-dplyr
Manipulating Time Series Data in R with xts & zoo,The xts and zoo packages make the task of managing and manipulating ordered observations fast and mistake free.,Jeffrey Ryan,Creator of xts and quantmod,https://www.datacamp.com/courses/manipulating-time-series-data-in-r-with-xts-zoo
Introduction to Time Series Analysis,Learn the core techniques necessary to extract meaningful insights from time series data.,David S. Matteson,Associate Professor at Cornell University,https://www.datacamp.com/courses/introduction-to-time-series-analysis
Importing & Cleaning Data in R: Case Studies,"In this series of four case studies, you'll revisit key concepts from our courses on importing and cleaning data in R.",Nick Carchedi,Product Manager at DataCamp,https://www.datacamp.com/courses/importing-cleaning-data-in-r-case-studies
Financial Trading in R,This course covers the basics of financial trading and how to use quantstrat to build signal-based trading strategies.,Ilya Kipnis,Professional Quantitative Analyst and R programmer,https://www.datacamp.com/courses/financial-trading-in-r
Intermediate Python for Data Science,Level up your data science skills by creating visualizations using matplotlib and manipulating data frames with Pandas.,Filip Schouwenaars,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/intermediate-python-for-data-science
Introduction to Databases in Python,"In this course, you'll learn the basics of relational databases and how to interact with them.",Jason Myers,Co-Author of Essential SQLAlchemy and Software Engineer,https://www.datacamp.com/courses/introduction-to-relational-databases-in-python
Interactive Data Visualization with Bokeh,Learn how to create versatile and interactive data visualizations using Bokeh.,Bryan Van de Ven,Software Engineer at Anaconda and Developer of Bokeh,https://www.datacamp.com/courses/interactive-data-visualization-with-bokeh
Python Data Science Toolbox (Part 2),Continue to build your modern Data Science skills by learning about iterators and list comprehensions.,Hugo Bowne-Anderson,Data Scientist at DataCamp,https://www.datacamp.com/courses/python-data-science-toolbox-part-2
Python Data Science Toolbox (Part 1),"Learn the art of writing your own functions in Python, as well as key concepts like scoping and error handling.",Hugo Bowne-Anderson,Data Scientist at DataCamp,https://www.datacamp.com/courses/python-data-science-toolbox-part-1
Statistical Thinking in Python (Part 1),Build the foundation you need to think statistically and to speak the language of your data.,Justin Bois,Lecturer at the California Institute of Technology,https://www.datacamp.com/courses/statistical-thinking-in-python-part-1
Statistical Thinking in Python (Part 2),Learn to perform the two key tasks in statistical inference: parameter estimation and hypothesis testing.,Justin Bois,Lecturer at the California Institute of Technology,https://www.datacamp.com/courses/statistical-thinking-in-python-part-2
Importing Data in Python (Part 2),Improve your Python data importing skills and learn to work with web and API data.,Hugo Bowne-Anderson,Data Scientist at DataCamp,https://www.datacamp.com/courses/importing-data-in-python-part-2
Importing Data in Python (Part 1),"Learn to import data into Python from various sources, such as Excel, SQL, SAS and right from the web.",Hugo Bowne-Anderson,Data Scientist at DataCamp,https://www.datacamp.com/courses/importing-data-in-python-part-1
pandas Foundations,"Learn how to use the industry-standard pandas library to import, build, and manipulate DataFrames.",Team Anaconda,Data Science Training,https://www.datacamp.com/courses/pandas-foundations
Importing and Managing Financial Data in R,Learn how to access financial data from local files as well as from internet sources.,Joshua Ulrich,Quantitative Analyst & member of R/Finance Conference committee,https://www.datacamp.com/courses/importing-and-managing-financial-data-in-r
Exploratory Data Analysis in R: Case Study,Use data manipulation and visualization skills to explore the historical voting of the United Nations General Assembly.,David Robinson,"Chief Data Scientist, DataCamp",https://www.datacamp.com/courses/exploratory-data-analysis-in-r-case-study
Importing Data in R (Part 1),"In this course, you will learn to read CSV, XLS, and text files in R using tools like readxl and data.table.",Filip Schouwenaars,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/importing-data-in-r-part-1
Importing Data in R (Part 2),"Parse data in any format. Whether it's flat files, statistical software, databases, or data right from the web.",Filip Schouwenaars,Data Science Instructor at DataCamp,https://www.datacamp.com/courses/importing-data-in-r-part-2
